VIN,MODEL_YEAR,FACTORY_CODE,MODEL_NAME,DAYS_TO_FAIL_MINZERO,MILES_TO_FAIL,RO_DATE,CUST_RO_STATE_CD,CLM_SK,VIN_SK
2HGFA16528H345572,2008,HCM,CIVIC,408,16156,8/27/2009,TN,50584389,28759601
2HGFA16528H348021,2008,HCM,CIVIC,487,12688,11/27/2009,PA,51558862,28796779
2HGFA16528H351808,2008,HCM,CIVIC,410,15075,10/15/2009,FL,51169799,28874278
2HGFA16528H351811,2008,HCM,CIVIC,353,30512,8/15/2009,FL,50504529,28874279
2HGFA16528H352926,2008,HCM,CIVIC,728,21312,9/10/2010,OH,54985638,28907357
2HGFA16528H353364,2008,HCM,CIVIC,953,31643,4/21/2011,LA,57652624,28917373
2HGFA16528H355888,2008,HCM,CIVIC,185,6804,3/3/2009,CA,49008650,28958420
2HGFA16528H356152,2008,HCM,CIVIC,1077,35970,8/19/2011,TX,59076725,28973601
2HGFA16528H503666,2008,HCM,CIVIC,693,34987,8/17/2009,TX,50761212,27108123
2HGFA16528H503683,2008,HCM,CIVIC,1055,35579,9/8/2010,LA,54935016,27108124
2HGFA16528H509919,2008,HCM,CIVIC,811,46223,3/11/2010,NY,52488487,27444534
2HGFA16528H512125,2008,HCM,CIVIC,782,38058,2/9/2010,PA,52254667,27631963
2HGFA16528H515672,2008,HCM,CIVIC,1018,34309,2/1/2011,FL,56673429,27946426
2HGFA16528H517597,2008,HCM,CIVIC,209,7425,11/21/2008,FL,47917746,28149794
2HGFA16528H517972,2008,HCM,CIVIC,595,28200,11/19/2009,TX,51587514,28186484
2HGFA16528H518409,2008,HCM,CIVIC,246,2512,12/27/2008,CA,48371221,28202933
2HGFA16528H520905,2008,HCM,CIVIC,608,18643,12/14/2009,FL,51827428,28272560
2HGFA16528H522816,2008,HCM,CIVIC,700,25506,5/31/2010,TX,53641922,28367456
2HGFA16528H523805,2008,HCM,CIVIC,1160,89456,8/3/2011,TX,58780912,28418416
